epoch,train_loss,val_loss,val_acc_top1,val_acc_top3
1,4059.38290309906,2.0585544109344482,0.37369999289512634,0.6692299842834473
2,3423.3911390304565,1.8572580814361572,0.41310998797416687,0.7155200242996216
3,3212.305270075798,1.7398314476013184,0.43821001052856445,0.7388799786567688
4,3075.2983663082123,1.6630487442016602,0.45197001099586487,0.7609000205993652
5,2966.176943898201,1.6047648191452026,0.4679099917411804,0.7742999792098999
6,2884.38067984581,1.5540248155593872,0.4830999970436096,0.7863399982452393
7,2813.6476621627808,1.5173245668411255,0.489980012178421,0.7941799759864807
8,2749.467908859253,1.474724531173706,0.5025699734687805,0.8062199950218201
9,2694.9906636476517,1.442987084388733,0.5107600092887878,0.8154900074005127
10,2648.2023508548737,1.4168800115585327,0.5140900015830994,0.8205100297927856
11,2608.5248481035233,1.3921880722045898,0.5232200026512146,0.8259299993515015
12,2571.3236865997314,1.3700050115585327,0.5265399813652039,0.8318300247192383
13,2537.649813890457,1.3542437553405762,0.5314000248908997,0.8375200033187866
14,2514.0629729032516,1.3431346416473389,0.5358099937438965,0.8389099836349487
15,2488.0031467676163,1.3293159008026123,0.5379499793052673,0.841159999370575
16,2472.875668168068,1.32076096534729,0.5402799844741821,0.8425899744033813
17,2457.565119624138,1.3142127990722656,0.541379988193512,0.8455399870872498
18,2439.639586210251,1.301037073135376,0.549560010433197,0.8478999733924866
19,2423.6970598697662,1.2973257303237915,0.5471600294113159,0.8504599928855896
20,2415.030678629875,1.2889093160629272,0.5497000217437744,0.8497700095176697
21,2406.529631972313,1.2832716703414917,0.5522199869155884,0.8513000011444092
22,2393.1812905073166,1.2759993076324463,0.5524100065231323,0.8563100099563599
23,2385.394035935402,1.2736003398895264,0.5581600069999695,0.8552299737930298
24,2379.3350479602814,1.2683004140853882,0.5581300258636475,0.8561199903488159
25,2375.0062967538834,1.2601873874664307,0.5613200068473816,0.8577499985694885
26,2368.329553961754,1.2609148025512695,0.5567899942398071,0.8568000197410583
27,2360.952394247055,1.2504230737686157,0.5642300248146057,0.8595899939537048
28,2354.3341608047485,1.2536717653274536,0.5624300241470337,0.8587300181388855
29,2349.4106942415237,1.2446473836898804,0.5655099749565125,0.8611000180244446
30,2345.451282262802,1.2492046356201172,0.560670018196106,0.8594499826431274
31,2339.9893897771835,1.2463842630386353,0.5633299946784973,0.8612300157546997
32,2341.0843720436096,1.2433347702026367,0.5671799778938293,0.8606399893760681
33,2334.1235941648483,1.23975670337677,0.5675600171089172,0.8614000082015991
34,2330.9563204050064,1.2358553409576416,0.5692200064659119,0.8633700013160706
35,2328.5286940336227,1.2353429794311523,0.5658800005912781,0.8625800013542175
36,2326.6775953769684,1.2346148490905762,0.5656399726867676,0.8626999855041504
37,2325.626701116562,1.23392653465271,0.5670300126075745,0.8617600202560425
38,2318.052571415901,1.224694848060608,0.5728600025177002,0.8645399808883667
39,2312.4542986154556,1.2261228561401367,0.570389986038208,0.8654299974441528
40,2312.213819384575,1.2246935367584229,0.571370005607605,0.8649500012397766
41,2309.8435895442963,1.21921968460083,0.5748999714851379,0.8653299808502197
42,2306.9640933275223,1.2182321548461914,0.5755199790000916,0.8668599724769592
