epoch,train_loss,val_loss,val_acc_top1
1,104.22148698568344,0.6466237306594849,0.6251000165939331
2,99.45237004756927,0.6380825638771057,0.6388999819755554
3,95.73793923854828,0.6250483989715576,0.6531999707221985
4,90.88848268985748,0.6170419454574585,0.6593000292778015
5,87.18914234638214,0.6111811995506287,0.670799970626831
6,83.00655409693718,0.6082480549812317,0.6851000189781189
7,79.32247450947762,0.5981945991516113,0.6904000043869019
8,75.38302913308144,0.6034193634986877,0.6952000260353088
9,72.94571617245674,0.5949686765670776,0.7010999917984009
10,69.36019766330719,0.593768835067749,0.7045999765396118
11,66.78215873241425,0.5951704382896423,0.7150999903678894
12,64.31890359520912,0.6069105267524719,0.7088000178337097
13,63.1296603679657,0.5950167775154114,0.7156999707221985
14,59.99378618597984,0.6089324355125427,0.7146000266075134
15,58.62354376912117,0.5992031097412109,0.7243000268936157
16,56.99515500664711,0.6101866960525513,0.7200999855995178
17,54.9061353802681,0.6100619435310364,0.7221999764442444
18,52.886597603559494,0.6161458492279053,0.7218999862670898
19,51.661366388201714,0.6215780377388,0.7271999716758728
20,50.67769041657448,0.6259472370147705,0.7279000282287598
