epoch,train_loss,val_loss,val_acc_top1
1,0.33864457313219704,0.16865333914756775,0.9381666779518127
2,0.1562746804157893,0.11843238025903702,0.9541666507720947
3,0.10882120515902838,0.10253680497407913,0.9651666879653931
4,0.08920110706488292,0.09423888474702835,0.9668333530426025
5,0.0730873344540596,0.0860249251127243,0.9713333249092102
6,0.061861968209346134,0.08265361934900284,0.9739999771118164
7,0.05433894386887551,0.08880718052387238,0.9728333353996277
8,0.04764330840607484,0.08440390974283218,0.9741666913032532
9,0.04231696247557799,0.08619248121976852,0.9741666913032532
10,0.03818868824839592,0.08895600587129593,0.9741666913032532
11,0.038539850095907845,0.08686171472072601,0.9764999747276306
12,0.03228116029004256,0.092485710978508,0.9743333458900452
13,0.033598127543926236,0.09562031179666519,0.9733333587646484
14,0.02755284600953261,0.0896022766828537,0.9760000109672546
15,0.026115294203162193,0.09683617204427719,0.9736666679382324
16,0.02547958932816982,0.09337900578975677,0.9761666655540466
