epoch,train_loss,val_loss,val_acc_top1
1,0.5269047842820486,0.46746236085891724,0.793666660785675
2,0.4436758875052134,0.4451461136341095,0.8065000176429749
3,0.4071129539012909,0.434966504573822,0.8215000033378601
4,0.3858602815469106,0.42949172854423523,0.828166663646698
5,0.37225179704030353,0.42397648096084595,0.8318333625793457
6,0.359125208457311,0.43149325251579285,0.831333339214325
7,0.3394437307516734,0.4307955801486969,0.8309999704360962
8,0.33065334900220233,0.43627798557281494,0.8324999809265137
9,0.3197260990937551,0.4448450207710266,0.8326666951179504
10,0.3068730020523071,0.4459894299507141,0.8299999833106995
11,0.29889307101567586,0.45278626680374146,0.8296666741371155
12,0.2849680468638738,0.46385252475738525,0.82833331823349
13,0.2770376253128052,0.4787944257259369,0.8291666507720947
14,0.26476873819033303,0.49258098006248474,0.8320000171661377
15,0.2604620085557302,0.5111091136932373,0.8253333568572998
