epoch,train_loss,val_loss,val_acc_top1
1,0.578170749950409,0.5330466032028198,0.732824981212616
2,0.5359394748687745,0.5189361572265625,0.7440000176429749
3,0.524174517917633,0.5110192894935608,0.753724992275238
4,0.5176619011878967,0.5046354532241821,0.7583249807357788
5,0.5114230281352997,0.5009713768959045,0.7608749866485596
6,0.5068010018348694,0.49818819761276245,0.7613750100135803
7,0.5033837610244751,0.4921502470970154,0.7664999961853027
8,0.4987162096977234,0.4899218678474426,0.767175018787384
9,0.4971080743789673,0.4883822202682495,0.7692750096321106
10,0.4946429754257202,0.4873504936695099,0.7693250179290771
11,0.4913296095371246,0.48770296573638916,0.770550012588501
12,0.4901604684352875,0.4853012263774872,0.7700499892234802
13,0.4892150944232941,0.4851948618888855,0.7711250185966492
14,0.48765872020721435,0.4829636216163635,0.7714250087738037
15,0.4868642680644989,0.481795996427536,0.7728250026702881
16,0.48574269967079164,0.4822266101837158,0.7723249793052673
17,0.48283689546585085,0.48214951157569885,0.7726250290870667
18,0.483215736913681,0.481962651014328,0.7741249799728394
19,0.4828945490837097,0.4816274344921112,0.7734000086784363
20,0.48153198266029357,0.4818643629550934,0.7746000289916992
21,0.48191326541900636,0.48012596368789673,0.7735249996185303
22,0.4819685230255127,0.47980716824531555,0.772599995136261
23,0.4818514975070953,0.480710506439209,0.7730500102043152
24,0.47957269916534423,0.4791560471057892,0.774399995803833
25,0.48036979389190676,0.48069193959236145,0.7736250162124634
26,0.48023791666030885,0.48005521297454834,0.7754999995231628
27,0.480106466293335,0.48136958479881287,0.772724986076355
28,0.4787217827796936,0.4800669550895691,0.7746750116348267
29,0.478318021774292,0.48045453429222107,0.772724986076355
30,0.47714788732528685,0.48094555735588074,0.7736250162124634
31,0.4781545928955078,0.48096737265586853,0.7731500267982483
32,0.47749106864929197,0.48073485493659973,0.7739999890327454
33,0.4769305909156799,0.4804754853248596,0.7734749913215637
34,0.47793927335739134,0.48054325580596924,0.7738000154495239
