epoch,train_loss,val_loss,val_acc_top1
1,0.41670730865001676,0.19942693412303925,0.9229999780654907
2,0.20243382569154103,0.15905769169330597,0.937666654586792
3,0.150137787938118,0.13024063408374786,0.9496666789054871
4,0.11708326592048009,0.12128637731075287,0.9524999856948853
5,0.09795722808440527,0.10777533799409866,0.9578333497047424
6,0.08138036986192067,0.11127649992704391,0.9595000147819519
7,0.07024216655890148,0.1018260195851326,0.9626666903495789
8,0.057858988672494886,0.09985524415969849,0.9641666412353516
9,0.052822340394059815,0.09989400207996368,0.9651666879653931
10,0.05078908615310987,0.09546510130167007,0.9653333425521851
11,0.04924798944592476,0.08953314274549484,0.968833327293396
12,0.040544364551703134,0.09604182839393616,0.9666666388511658
13,0.03799900358915329,0.09382806718349457,0.9681666493415833
14,0.03435087407628695,0.0849161297082901,0.9714999794960022
15,0.03423675102988879,0.09177101403474808,0.9710000157356262
16,0.03279714802404245,0.09164078533649445,0.9704999923706055
17,0.03031562814116478,0.08423742651939392,0.9726666808128357
18,0.027957948053255677,0.08851342648267746,0.9706666469573975
19,0.026171905854096015,0.08540112525224686,0.9721666574478149
20,0.02420039546986421,0.08821342140436172,0.972000002861023
21,0.02216652026772499,0.08817350119352341,0.9729999899864197
22,0.020463100438316662,0.08775109052658081,0.9725000262260437
23,0.02046348910778761,0.09900107979774475,0.9710000157356262
24,0.02511076269050439,0.0903787612915039,0.9723333120346069
25,0.01968106672167778,0.09469754993915558,0.972000002861023
26,0.02105774161219597,0.09142898768186569,0.9721666574478149
27,0.019531880468130113,0.09051226824522018,0.9725000262260437
