epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,val_macro_precision,val_macro_recall,val_macro_f1
1,2.436580668106079,1.9861637353897095,0.3912400007247925,0.6718299984931946,0.25925766826285523,0.280899549612206,0.24453755940208258
2,1.9805248243713378,1.724129319190979,0.44613999128341675,0.7427600026130676,0.33360648461339715,0.3367269014454515,0.30991380458761103
3,1.8008045748138428,1.586607813835144,0.4824399948120117,0.77538001537323,0.4056620614622122,0.3820728256724149,0.36853759164222005
4,1.6834894827651978,1.4627035856246948,0.5108500123023987,0.803059995174408,0.4525599734429525,0.41732128867786455,0.40946485719875547
5,1.6008603551483154,1.3984675407409668,0.5289400219917297,0.821590006351471,0.4923429758722295,0.44328994660619925,0.4399493313948459
6,1.5415213276672364,1.344203233718872,0.5447499752044678,0.8338199853897095,0.5178523102084126,0.46131322500249894,0.46346506932534415
7,1.4902593125534058,1.2924171686172485,0.5623400211334229,0.8460800051689148,0.5423476492761284,0.48661703926698613,0.4924632541697627
8,1.454413620109558,1.2604856491088867,0.5705900192260742,0.8543599843978882,0.5517133912502176,0.5013255573457743,0.5105433167234051
9,1.4209456783294678,1.2365375757217407,0.5770099759101868,0.8603600263595581,0.5668707948111414,0.5088448106959387,0.519125653829609
10,1.3874320135498046,1.2116389274597168,0.5818300247192383,0.8666800260543823,0.5724174409890788,0.5152126273031316,0.5253472875756656
11,1.3599519032669067,1.1899775266647339,0.5866400003433228,0.8705700039863586,0.5810706580991579,0.522818065790079,0.5348810339066938
12,1.3353307545852662,1.1641675233840942,0.5956199765205383,0.8766700029373169,0.5837426928999631,0.5377258839987252,0.5491137366844138
13,1.3160108012771607,1.1586930751800537,0.5967699885368347,0.8788599967956543,0.591449930401583,0.5404267737990018,0.5524895140552647
14,1.2985793618774415,1.1427432298660278,0.6029000282287598,0.8827900290489197,0.6018255187945225,0.5461392393697055,0.5602936095656571
15,1.283832345161438,1.1291978359222412,0.6064800024032593,0.8834999799728394,0.6036353368903795,0.5504493090439706,0.5648933779731681
16,1.2706552107238769,1.124316930770874,0.6061300039291382,0.8855400085449219,0.6105382193252855,0.5479023925819996,0.5631442130084906
17,1.2576436038589478,1.1134613752365112,0.6086300015449524,0.8881199955940247,0.6099186256385056,0.555450814348202,0.5705600073255914
